ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	1417.0	4.0	25
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	950.0	1.0	26
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	762.0	4.0	27
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	632.0	3.0	28
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	686.0	5.0	29
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	1142.0	2.0	30
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	736.0	1.0	31
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	1829.0	4.0	32
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	543.0	2.0	33
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	367.0	3.0	34
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	512.0	5.0	35
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	350.0	3.0	36
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	463.0	2.0	37
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	354.0	5.0	38
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	702.0	1.0	39
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	325.0	4.0	40
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	3971.0	2.0	1
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	2239.0	3.0	2
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	1087.0	3.0	3
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	1043.0	3.0	4
part1_UG_gain_f_red_1	25	01-07-2020	0	2.0	0	766.0	3.0	5
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	729.0	3.0	6
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	4550.0	3.0	7
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	475.0	2.0	8
part1_UG_gain_f_red_1	25	01-07-2020	0	2.0	0	872.0	3.0	9
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	919.0	3.0	10
part1_UG_gain_f_red_1	25	01-07-2020	1	2.0	1	4975.0	3.0	11
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	489.0	2.0	12
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	616.0	3.0	13
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	1092.0	3.0	14
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	1717.0	2.0	15
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	533.0	3.0	16
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	1246.0	3.0	17
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	371.0	3.0	18
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	632.0	2.0	19
part1_UG_gain_f_red_1	25	01-07-2020	1	2.0	1	1517.0	3.0	20
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	448.0	3.0	21
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	316.0	3.0	22
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	753.0	2.0	23
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	693.0	3.0	24
part1_UG_gain_f_red_1	25	01-07-2020	1	2.0	1	1842.0	3.0	25
part1_UG_gain_f_red_1	25	01-07-2020	1	2.0	1	1059.0	3.0	26
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	528.0	3.0	27
part1_UG_gain_f_red_1	25	01-07-2020	1	5.0	1	518.0	3.0	28
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	534.0	2.0	29
part1_UG_gain_f_red_1	25	01-07-2020	1	3.0	1	828.0	3.0	30
part1_UG_gain_f_red_1	25	01-07-2020	1	4.0	1	1931.0	3.0	31
part1_UG_gain_f_red_1	25	01-07-2020	0	1.0	0	514.0	3.0	32
